Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
SoftArch/MTE: Generating Distributed System Test-Beds from High-Level Software Architecture Descriptions;Automated Software Engineering;;12;1;10.1023/B:AUSE.0000049207.62380.74;John GrundyYuhong CaiAnna Liu;2005;http://link.springer.com/article/10.1023/B%3AAUSE.0000049207.62380.74;Article;"SoftArch/MTE: Generating Distributed System Test-Beds from High-Level Software Architecture Descriptions,""Automated Software Engineering"","""",""12"",""1"",""10.1023/B:AUSE.0000049207.62380.74"",""John GrundyYuhong CaiAnna Liu"",""2005"",""http://link.springer.com/article/10.1023/B%3AAUSE.0000049207.62380.74"",""Article"""
Autonomic Middleware for Automotive Embedded Systems;Autonomic Communication;;;;10.1007/978-0-387-09753-4_7;Richard AnthonyDeJiu ChenMartin TörngrenDetlef ScholleMartin SanfridsonAchim RettbergTahir NaseerMagnus PerssonLei Feng;2009;http://link.springer.com/chapter/10.1007/978-0-387-09753-4_7;Chapter;"Autonomic Middleware for Automotive Embedded Systems,""Autonomic Communication"","""","""","""",""10.1007/978-0-387-09753-4_7"",""Richard AnthonyDeJiu ChenMartin TörngrenDetlef ScholleMartin SanfridsonAchim RettbergTahir NaseerMagnus PerssonLei Feng"",""2009"",""http://link.springer.com/chapter/10.1007/978-0-387-09753-4_7"",""Chapter"""
Supporting Performance Awareness in Autonomous Ensembles;Software Engineering for Collective Autonomic Systems;;;;10.1007/978-3-319-16310-9_8;Lubomír BulejTomáš BurešIlias GerostathopoulosVojtěch HorkýJaroslav KezniklLukáš MarekMax TschaikowskiMirco TribastonePetr Tůma;2015;http://link.springer.com/chapter/10.1007/978-3-319-16310-9_8;Chapter;"Supporting Performance Awareness in Autonomous Ensembles,""Software Engineering for Collective Autonomic Systems"","""","""","""",""10.1007/978-3-319-16310-9_8"",""Lubomír BulejTomáš BurešIlias GerostathopoulosVojtěch HorkýJaroslav KezniklLukáš MarekMax TschaikowskiMirco TribastonePetr Tůma"",""2015"",""http://link.springer.com/chapter/10.1007/978-3-319-16310-9_8"",""Chapter"""
Administering and Scaling Plone;The Definitive Guide to Plone;;;;10.1007/978-1-4302-0734-4_14;Andy McKay;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0734-4_14;Chapter;"Administering and Scaling Plone,""The Definitive Guide to Plone"","""","""","""",""10.1007/978-1-4302-0734-4_14"",""Andy McKay"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0734-4_14"",""Chapter"""
Two-level parallelization of Ehrenfest force calculations in ab initio molecular dynamics simulation;Cluster Computing;;15;3;10.1007/s10586-012-0217-8;Hongjian LiShixin SunHong TangYusheng DouGlenn V. Lo;2012;http://link.springer.com/article/10.1007/s10586-012-0217-8;Article;"Two-level parallelization of Ehrenfest force calculations in ab initio molecular dynamics simulation,""Cluster Computing"","""",""15"",""3"",""10.1007/s10586-012-0217-8"",""Hongjian LiShixin SunHong TangYusheng DouGlenn V. Lo"",""2012"",""http://link.springer.com/article/10.1007/s10586-012-0217-8"",""Article"""
Summaries of PIE Reports;Software Quality Approaches: Testing, Verification, and Validation;;;;10.1007/978-3-642-56612-7_10;Michael HaugEric W. OlsenLuisa Consolini;2001;http://link.springer.com/chapter/10.1007/978-3-642-56612-7_10;Chapter;"Summaries of PIE Reports,""Software Quality Approaches: Testing, Verification, and Validation"","""","""","""",""10.1007/978-3-642-56612-7_10"",""Michael HaugEric W. OlsenLuisa Consolini"",""2001"",""http://link.springer.com/chapter/10.1007/978-3-642-56612-7_10"",""Chapter"""
PerfTTCN, a TTCN language extension for performance testing;Testing of Communicating Systems;;;;10.1007/978-0-387-35198-8_2;I. SchieferdeckerB. StepienA. Rennoch;1997;http://link.springer.com/chapter/10.1007/978-0-387-35198-8_2;Chapter;"PerfTTCN, a TTCN language extension for performance testing,""Testing of Communicating Systems"","""","""","""",""10.1007/978-0-387-35198-8_2"",""I. SchieferdeckerB. StepienA. Rennoch"",""1997"",""http://link.springer.com/chapter/10.1007/978-0-387-35198-8_2"",""Chapter"""
Apache for Enterprise-Level Fault Tolerance;Practical Linux Infrastructure;;;;10.1007/978-1-4842-0511-2_6;Syed Ali;2015;http://link.springer.com/chapter/10.1007/978-1-4842-0511-2_6;Chapter;"Apache for Enterprise-Level Fault Tolerance,""Practical Linux Infrastructure"","""","""","""",""10.1007/978-1-4842-0511-2_6"",""Syed Ali"",""2015"",""http://link.springer.com/chapter/10.1007/978-1-4842-0511-2_6"",""Chapter"""
Simple linear string constraints;Formal Aspects of Computing;;25;6;10.1007/s00165-011-0214-3;Xiang FuMichael C. PowellMichael BanteguiChung-Chih Li;2013;http://link.springer.com/article/10.1007/s00165-011-0214-3;Article;"Simple linear string constraints,""Formal Aspects of Computing"","""",""25"",""6"",""10.1007/s00165-011-0214-3"",""Xiang FuMichael C. PowellMichael BanteguiChung-Chih Li"",""2013"",""http://link.springer.com/article/10.1007/s00165-011-0214-3"",""Article"""
Benefits of Parallel I/O in Ab Initio Nuclear Physics Calculations;Computational Science – ICCS 2009;;;;10.1007/978-3-642-01970-8_9;Nikhil LaghaveMasha SosonkinaPieter MarisJames P. Vary;2009;http://link.springer.com/chapter/10.1007/978-3-642-01970-8_9;Chapter;"Benefits of Parallel I/O in Ab Initio Nuclear Physics Calculations,""Computational Science – ICCS 2009"","""","""","""",""10.1007/978-3-642-01970-8_9"",""Nikhil LaghaveMasha SosonkinaPieter MarisJames P. Vary"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-642-01970-8_9"",""Chapter"""
Model-Driven Architecture;Essential Software Architecture;;;;10.1007/3-540-28714-0_11;Dr Liming Zhu;2006;http://link.springer.com/chapter/10.1007/3-540-28714-0_11;Chapter;"Model-Driven Architecture,""Essential Software Architecture"","""","""","""",""10.1007/3-540-28714-0_11"",""Dr Liming Zhu"",""2006"",""http://link.springer.com/chapter/10.1007/3-540-28714-0_11"",""Chapter"""
Visual GUI testing in practice: challenges, problemsand limitations;Empirical Software Engineering;;20;3;10.1007/s10664-013-9293-5;Emil AlégrothRobert FeldtLisa Ryrholm;2015;http://link.springer.com/article/10.1007/s10664-013-9293-5;Article;"Visual GUI testing in practice: challenges, problemsand limitations,""Empirical Software Engineering"","""",""20"",""3"",""10.1007/s10664-013-9293-5"",""Emil AlégrothRobert FeldtLisa Ryrholm"",""2015"",""http://link.springer.com/article/10.1007/s10664-013-9293-5"",""Article"""
Efficiency Analysis of Intel and AMD x86_64 Architectures for Ab Initio Calculations: A Case Study of VASP;Supercomputing;;;;10.1007/978-3-319-71255-0_35;Vladimir StegailovVyacheslav Vecher;2017;http://link.springer.com/chapter/10.1007/978-3-319-71255-0_35;Chapter;"Efficiency Analysis of Intel and AMD x86_64 Architectures for Ab Initio Calculations: A Case Study of VASP,""Supercomputing"","""","""","""",""10.1007/978-3-319-71255-0_35"",""Vladimir StegailovVyacheslav Vecher"",""2017"",""http://link.springer.com/chapter/10.1007/978-3-319-71255-0_35"",""Chapter"""
Worker and Threads;Pro ASP.NET Extensibility;;;;10.1007/978-1-4302-1984-2_2;;2009;http://link.springer.com/chapter/10.1007/978-1-4302-1984-2_2;Chapter;"Worker and Threads,""Pro ASP.NET Extensibility"","""","""","""",""10.1007/978-1-4302-1984-2_2"","""",""2009"",""http://link.springer.com/chapter/10.1007/978-1-4302-1984-2_2"",""Chapter"""
The role of model checking in software engineering;Frontiers of Computer Science;;;;10.1007/s11704-016-6192-0;Anil Kumar KarnaYuting ChenHaibo YuHao ZhongJianjun Zhao;2018;http://link.springer.com/article/10.1007/s11704-016-6192-0;Article;"The role of model checking in software engineering,""Frontiers of Computer Science"","""","""","""",""10.1007/s11704-016-6192-0"",""Anil Kumar KarnaYuting ChenHaibo YuHao ZhongJianjun Zhao"",""2018"",""http://link.springer.com/article/10.1007/s11704-016-6192-0"",""Article"""
Built-in Contract Testing and Implementation Technologies;Component-Based Software Testing with UML;;;;10.1007/3-540-26733-6_5;;2005;http://link.springer.com/chapter/10.1007/3-540-26733-6_5;Chapter;"Built-in Contract Testing and Implementation Technologies,""Component-Based Software Testing with UML"","""","""","""",""10.1007/3-540-26733-6_5"","""",""2005"",""http://link.springer.com/chapter/10.1007/3-540-26733-6_5"",""Chapter"""
Efficiency Analysis of Intel, AMD and Nvidia 64-Bit Hardware for Memory-Bound Problems: A Case Study of Ab Initio Calculations with VASP;Parallel Processing and Applied Mathematics;;;;10.1007/978-3-319-78054-2_8;Vladimir StegailovVyacheslav Vecher;2018;http://link.springer.com/chapter/10.1007/978-3-319-78054-2_8;Chapter;"Efficiency Analysis of Intel, AMD and Nvidia 64-Bit Hardware for Memory-Bound Problems: A Case Study of Ab Initio Calculations with VASP,""Parallel Processing and Applied Mathematics"","""","""","""",""10.1007/978-3-319-78054-2_8"",""Vladimir StegailovVyacheslav Vecher"",""2018"",""http://link.springer.com/chapter/10.1007/978-3-319-78054-2_8"",""Chapter"""
Towards Environment Retargetable Parser Generators;Advances in Software Engineering;;;;10.1007/978-0-387-21599-0_18;Kostas KontogiannisJohn MylopoulosSuchun Wu;2002;http://link.springer.com/chapter/10.1007/978-0-387-21599-0_18;Chapter;"Towards Environment Retargetable Parser Generators,""Advances in Software Engineering"","""","""","""",""10.1007/978-0-387-21599-0_18"",""Kostas KontogiannisJohn MylopoulosSuchun Wu"",""2002"",""http://link.springer.com/chapter/10.1007/978-0-387-21599-0_18"",""Chapter"""
Evaluating the SiteStory Transactional Web Archive with the ApacheBench Tool;Research and Advanced Technology for Digital Libraries;;;;10.1007/978-3-642-40501-3_20;Justin F. BrunelleMichael L. NelsonLyudmila BalakirevaRobert SandersonHerbert Van de Sompel;2013;http://link.springer.com/chapter/10.1007/978-3-642-40501-3_20;Chapter;"Evaluating the SiteStory Transactional Web Archive with the ApacheBench Tool,""Research and Advanced Technology for Digital Libraries"","""","""","""",""10.1007/978-3-642-40501-3_20"",""Justin F. BrunelleMichael L. NelsonLyudmila BalakirevaRobert SandersonHerbert Van de Sompel"",""2013"",""http://link.springer.com/chapter/10.1007/978-3-642-40501-3_20"",""Chapter"""
Agent-based Simulation Software;Adaptive Bidding in Single-Sided Auctions Under Uncertainty;;;;10.1007/978-3-7643-8113-4_5;;2007;http://link.springer.com/chapter/10.1007/978-3-7643-8113-4_5;Chapter;"Agent-based Simulation Software,""Adaptive Bidding in Single-Sided Auctions Under Uncertainty"","""","""","""",""10.1007/978-3-7643-8113-4_5"","""",""2007"",""http://link.springer.com/chapter/10.1007/978-3-7643-8113-4_5"",""Chapter"""
Analytical Quality Assurance;Service Research Challenges and Solutions for the Future Internet;;;;10.1007/978-3-642-17599-2_7;Andreas MetzgerSalima BenbernouManuel CarroMaha DrissGabor KecskemetiRaman KazhamiakinKyriakos KrytikosAndrea MocciElisabetta Di NittoBranimir WetzsteinFabrizio Silvestri;2010;http://link.springer.com/chapter/10.1007/978-3-642-17599-2_7;Chapter;"Analytical Quality Assurance,""Service Research Challenges and Solutions for the Future Internet"","""","""","""",""10.1007/978-3-642-17599-2_7"",""Andreas MetzgerSalima BenbernouManuel CarroMaha DrissGabor KecskemetiRaman KazhamiakinKyriakos KrytikosAndrea MocciElisabetta Di NittoBranimir WetzsteinFabrizio Silvestri"",""2010"",""http://link.springer.com/chapter/10.1007/978-3-642-17599-2_7"",""Chapter"""
Clock-Independent Planning: Petri Nets;Project Engineering;;;;10.1007/978-3-642-75630-6_6;Anastasia Pagnoni;1990;http://link.springer.com/chapter/10.1007/978-3-642-75630-6_6;Chapter;"Clock-Independent Planning: Petri Nets,""Project Engineering"","""","""","""",""10.1007/978-3-642-75630-6_6"",""Anastasia Pagnoni"",""1990"",""http://link.springer.com/chapter/10.1007/978-3-642-75630-6_6"",""Chapter"""
Testing Real-Time Systems Using UPPAAL;Formal Methods and Testing;;;;10.1007/978-3-540-78917-8_3;Anders HesselKim G. LarsenMarius MikucionisBrian NielsenPaul PetterssonArne Skou;2008;http://link.springer.com/chapter/10.1007/978-3-540-78917-8_3;Chapter;"Testing Real-Time Systems Using UPPAAL,""Formal Methods and Testing"","""","""","""",""10.1007/978-3-540-78917-8_3"",""Anders HesselKim G. LarsenMarius MikucionisBrian NielsenPaul PetterssonArne Skou"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-78917-8_3"",""Chapter"""
Integrating an Improvement Model of Handling Capacity Requirements with the OpenUP/Basic Process;Requirements Engineering: Foundation for Software Quality;;;;10.1007/978-3-540-73031-6_26;Andreas BorgMikael PatelKristian Sandahl;2007;http://link.springer.com/chapter/10.1007/978-3-540-73031-6_26;Chapter;"Integrating an Improvement Model of Handling Capacity Requirements with the OpenUP/Basic Process,""Requirements Engineering: Foundation for Software Quality"","""","""","""",""10.1007/978-3-540-73031-6_26"",""Andreas BorgMikael PatelKristian Sandahl"",""2007"",""http://link.springer.com/chapter/10.1007/978-3-540-73031-6_26"",""Chapter"""
Silverlight and Service-Oriented Architecture;Pro Silverlight for the Enterprise;;;;10.1007/978-1-4302-1868-5_4;;2009;http://link.springer.com/chapter/10.1007/978-1-4302-1868-5_4;Chapter;"Silverlight and Service-Oriented Architecture,""Pro Silverlight for the Enterprise"","""","""","""",""10.1007/978-1-4302-1868-5_4"","""",""2009"",""http://link.springer.com/chapter/10.1007/978-1-4302-1868-5_4"",""Chapter"""
Web Application Performance;Pro .NET Performance;;;;10.1007/978-1-4302-4459-2_11;Sasha GoldshteinDima ZurbalevIdo Flatow;2012;http://link.springer.com/chapter/10.1007/978-1-4302-4459-2_11;Chapter;"Web Application Performance,""Pro .NET Performance"","""","""","""",""10.1007/978-1-4302-4459-2_11"",""Sasha GoldshteinDima ZurbalevIdo Flatow"",""2012"",""http://link.springer.com/chapter/10.1007/978-1-4302-4459-2_11"",""Chapter"""
User-Oriented Provisioning of Secure Virtualized Infrastructure;Building a National Distributed e-Infrastructure–PL-Grid;;;;10.1007/978-3-642-28267-6_6;Marcin JarząbJacek KosińskiKrzysztof ZielińskiSławomir Zieliński;2012;http://link.springer.com/chapter/10.1007/978-3-642-28267-6_6;Chapter;"User-Oriented Provisioning of Secure Virtualized Infrastructure,""Building a National Distributed e-Infrastructure–PL-Grid"","""","""","""",""10.1007/978-3-642-28267-6_6"",""Marcin JarząbJacek KosińskiKrzysztof ZielińskiSławomir Zieliński"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-28267-6_6"",""Chapter"""
Microsoft Solutions Framework 3.0;Enterprise Development with Visual Studio .NET, UML, and MSF;;;;10.1007/978-1-4302-0696-5_20;John Erik HansenCarsten Thomsen;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0696-5_20;Chapter;"Microsoft Solutions Framework 3.0,""Enterprise Development with Visual Studio .NET, UML, and MSF"","""","""","""",""10.1007/978-1-4302-0696-5_20"",""John Erik HansenCarsten Thomsen"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0696-5_20"",""Chapter"""
RELEASE: A High-Level Paradigm for Reliable Large-Scale Server Software;Trends in Functional Programming;;;;10.1007/978-3-642-40447-4_17;Olivier BoudevilleFrancesco CesariniNatalia ChechinaKenneth LundinNikolaos PapaspyrouKonstantinos SagonasSimon ThompsonPhil TrinderUlf Wiger;2013;http://link.springer.com/chapter/10.1007/978-3-642-40447-4_17;Chapter;"RELEASE: A High-Level Paradigm for Reliable Large-Scale Server Software,""Trends in Functional Programming"","""","""","""",""10.1007/978-3-642-40447-4_17"",""Olivier BoudevilleFrancesco CesariniNatalia ChechinaKenneth LundinNikolaos PapaspyrouKonstantinos SagonasSimon ThompsonPhil TrinderUlf Wiger"",""2013"",""http://link.springer.com/chapter/10.1007/978-3-642-40447-4_17"",""Chapter"""
Log Analysis, Monitoring, and Automation;Nginx;;;;10.1007/978-1-4842-1656-9_9;Rahul Soni;2016;http://link.springer.com/chapter/10.1007/978-1-4842-1656-9_9;Chapter;"Log Analysis, Monitoring, and Automation,""Nginx"","""","""","""",""10.1007/978-1-4842-1656-9_9"",""Rahul Soni"",""2016"",""http://link.springer.com/chapter/10.1007/978-1-4842-1656-9_9"",""Chapter"""
Distributed Analysis in CMS;Journal of Grid Computing;;8;2;10.1007/s10723-010-9152-1;Alessandra FanfaniAnzar AfaqJose Afonso SanchesJulia AndreevaGiusepppe BagliesiLothar BauerdickStefano BelfortePatricia Bittencourt SampaioKen BloomBarry BlumenfeldDaniele BonacorsiChris BrewMarco CalloniDaniele CesiniMattia CinquilliGiuseppe Codispoti;2010;http://link.springer.com/article/10.1007/s10723-010-9152-1;Article;"Distributed Analysis in CMS,""Journal of Grid Computing"","""",""8"",""2"",""10.1007/s10723-010-9152-1"",""Alessandra FanfaniAnzar AfaqJose Afonso SanchesJulia AndreevaGiusepppe BagliesiLothar BauerdickStefano BelfortePatricia Bittencourt SampaioKen BloomBarry BlumenfeldDaniele BonacorsiChris BrewMarco CalloniDaniele CesiniMattia CinquilliGiuseppe Codispoti"",""2010"",""http://link.springer.com/article/10.1007/s10723-010-9152-1"",""Article"""
Automatic Stress Testing of Multi-tier Systems by Dynamic Bottleneck Switch Generation;Middleware 2009;;;;10.1007/978-3-642-10445-9_20;Giuliano CasaleAmir KalbasiDiwakar KrishnamurthyJerry Rolia;2009;http://link.springer.com/chapter/10.1007/978-3-642-10445-9_20;Chapter;"Automatic Stress Testing of Multi-tier Systems by Dynamic Bottleneck Switch Generation,""Middleware 2009"","""","""","""",""10.1007/978-3-642-10445-9_20"",""Giuliano CasaleAmir KalbasiDiwakar KrishnamurthyJerry Rolia"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-642-10445-9_20"",""Chapter"""
Service-Oriented Architectures Testing: A Survey;Software Engineering;;;;10.1007/978-3-540-95888-8_4;Gerardo CanforaMassimiliano Di Penta;2009;http://link.springer.com/chapter/10.1007/978-3-540-95888-8_4;Chapter;"Service-Oriented Architectures Testing: A Survey,""Software Engineering"","""","""","""",""10.1007/978-3-540-95888-8_4"",""Gerardo CanforaMassimiliano Di Penta"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-540-95888-8_4"",""Chapter"""
CaPTIF: Comprehensive Performance TestIng Framework;Testing Software and Systems;;;;10.1007/978-3-642-34691-0_6;Daniel A. MayerOrie SteeleSusanne WetzelUlrike Meyer;2012;http://link.springer.com/chapter/10.1007/978-3-642-34691-0_6;Chapter;"CaPTIF: Comprehensive Performance TestIng Framework,""Testing Software and Systems"","""","""","""",""10.1007/978-3-642-34691-0_6"",""Daniel A. MayerOrie SteeleSusanne WetzelUlrike Meyer"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-34691-0_6"",""Chapter"""
Solving Performance Problems;Maximizing .NET Performance;;;;10.1007/978-1-4302-0784-9_15;Nick Wienholt;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0784-9_15;Chapter;"Solving Performance Problems,""Maximizing .NET Performance"","""","""","""",""10.1007/978-1-4302-0784-9_15"",""Nick Wienholt"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0784-9_15"",""Chapter"""
Artificial Immune System Applied to the Multi-stage Transmission Expansion Planning;Artificial Immune Systems;;;;10.1007/978-3-642-03246-2_19;Leandro S. RezendeArmando M. Leite da SilvaLeonardo de Mello Honório;2009;http://link.springer.com/chapter/10.1007/978-3-642-03246-2_19;Chapter;"Artificial Immune System Applied to the Multi-stage Transmission Expansion Planning,""Artificial Immune Systems"","""","""","""",""10.1007/978-3-642-03246-2_19"",""Leandro S. RezendeArmando M. Leite da SilvaLeonardo de Mello Honório"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-642-03246-2_19"",""Chapter"""
Configuration Decision Making Using Simulation-Generated Data;Service-Oriented Computing;;;;10.1007/978-3-642-19394-1_3;Michael SmitEleni Stroulia;2011;http://link.springer.com/chapter/10.1007/978-3-642-19394-1_3;Chapter;"Configuration Decision Making Using Simulation-Generated Data,""Service-Oriented Computing"","""","""","""",""10.1007/978-3-642-19394-1_3"",""Michael SmitEleni Stroulia"",""2011"",""http://link.springer.com/chapter/10.1007/978-3-642-19394-1_3"",""Chapter"""
Simulation;Multiagent Engineering;;;;10.1007/3-540-32062-8_27;Rainer HerrlerFranziska Klügl;2006;http://link.springer.com/chapter/10.1007/3-540-32062-8_27;Chapter;"Simulation,""Multiagent Engineering"","""","""","""",""10.1007/3-540-32062-8_27"",""Rainer HerrlerFranziska Klügl"",""2006"",""http://link.springer.com/chapter/10.1007/3-540-32062-8_27"",""Chapter"""
Mobile Application Verification: A Systematic Mapping Study;Computational Science and Its Applications -- ICCSA 2015;;;;10.1007/978-3-319-21413-9_11;Mehmet SahinogluKoray InckiMehmet S. Aktas;2015;http://link.springer.com/chapter/10.1007/978-3-319-21413-9_11;Chapter;"Mobile Application Verification: A Systematic Mapping Study,""Computational Science and Its Applications -- ICCSA 2015"","""","""","""",""10.1007/978-3-319-21413-9_11"",""Mehmet SahinogluKoray InckiMehmet S. Aktas"",""2015"",""http://link.springer.com/chapter/10.1007/978-3-319-21413-9_11"",""Chapter"""
Generation of Sierpinski Triangles: A Case Study for Graph Transformation Tools;Applications of Graph Transformations with Industrial Relevance;;;;10.1007/978-3-540-89020-1_35;Gabriele TaentzerEnrico BiermannDénes BisztrayBernd BohnetIovka BonevaArtur BoronatLeif GeigerRubino GeißÁkos HorvathOle KniemeyerTom MensBenjamin NessDetlef PlumpTamás Vajk;2008;http://link.springer.com/chapter/10.1007/978-3-540-89020-1_35;Chapter;"Generation of Sierpinski Triangles: A Case Study for Graph Transformation Tools,""Applications of Graph Transformations with Industrial Relevance"","""","""","""",""10.1007/978-3-540-89020-1_35"",""Gabriele TaentzerEnrico BiermannDénes BisztrayBernd BohnetIovka BonevaArtur BoronatLeif GeigerRubino GeißÁkos HorvathOle KniemeyerTom MensBenjamin NessDetlef PlumpTamás Vajk"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-89020-1_35"",""Chapter"""
