Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
The role of model checking in software engineering;Frontiers of Computer Science;;;;10.1007/s11704-016-6192-0;Anil Kumar KarnaYuting ChenHaibo YuHao ZhongJianjun Zhao;2018;http://link.springer.com/article/10.1007/s11704-016-6192-0;Article;"The role of model checking in software engineering,""Frontiers of Computer Science"","""","""","""",""10.1007/s11704-016-6192-0"",""Anil Kumar KarnaYuting ChenHaibo YuHao ZhongJianjun Zhao"",""2018"",""http://link.springer.com/article/10.1007/s11704-016-6192-0"",""Article"""
Towards Environment Retargetable Parser Generators;Advances in Software Engineering;;;;10.1007/978-0-387-21599-0_18;Kostas KontogiannisJohn MylopoulosSuchun Wu;2002;http://link.springer.com/chapter/10.1007/978-0-387-21599-0_18;Chapter;"Towards Environment Retargetable Parser Generators,""Advances in Software Engineering"","""","""","""",""10.1007/978-0-387-21599-0_18"",""Kostas KontogiannisJohn MylopoulosSuchun Wu"",""2002"",""http://link.springer.com/chapter/10.1007/978-0-387-21599-0_18"",""Chapter"""
Clock-Independent Planning: Petri Nets;Project Engineering;;;;10.1007/978-3-642-75630-6_6;Anastasia Pagnoni;1990;http://link.springer.com/chapter/10.1007/978-3-642-75630-6_6;Chapter;"Clock-Independent Planning: Petri Nets,""Project Engineering"","""","""","""",""10.1007/978-3-642-75630-6_6"",""Anastasia Pagnoni"",""1990"",""http://link.springer.com/chapter/10.1007/978-3-642-75630-6_6"",""Chapter"""
Testing Real-Time Systems Using UPPAAL;Formal Methods and Testing;;;;10.1007/978-3-540-78917-8_3;Anders HesselKim G. LarsenMarius MikucionisBrian NielsenPaul PetterssonArne Skou;2008;http://link.springer.com/chapter/10.1007/978-3-540-78917-8_3;Chapter;"Testing Real-Time Systems Using UPPAAL,""Formal Methods and Testing"","""","""","""",""10.1007/978-3-540-78917-8_3"",""Anders HesselKim G. LarsenMarius MikucionisBrian NielsenPaul PetterssonArne Skou"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-78917-8_3"",""Chapter"""
Automatic Stress Testing of Multi-tier Systems by Dynamic Bottleneck Switch Generation;Middleware 2009;;;;10.1007/978-3-642-10445-9_20;Giuliano CasaleAmir KalbasiDiwakar KrishnamurthyJerry Rolia;2009;http://link.springer.com/chapter/10.1007/978-3-642-10445-9_20;Chapter;"Automatic Stress Testing of Multi-tier Systems by Dynamic Bottleneck Switch Generation,""Middleware 2009"","""","""","""",""10.1007/978-3-642-10445-9_20"",""Giuliano CasaleAmir KalbasiDiwakar KrishnamurthyJerry Rolia"",""2009"",""http://link.springer.com/chapter/10.1007/978-3-642-10445-9_20"",""Chapter"""
Microsoft Solutions Framework 3.0;Enterprise Development with Visual Studio .NET, UML, and MSF;;;;10.1007/978-1-4302-0696-5_20;John Erik HansenCarsten Thomsen;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0696-5_20;Chapter;"Microsoft Solutions Framework 3.0,""Enterprise Development with Visual Studio .NET, UML, and MSF"","""","""","""",""10.1007/978-1-4302-0696-5_20"",""John Erik HansenCarsten Thomsen"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0696-5_20"",""Chapter"""
CaPTIF: Comprehensive Performance TestIng Framework;Testing Software and Systems;;;;10.1007/978-3-642-34691-0_6;Daniel A. MayerOrie SteeleSusanne WetzelUlrike Meyer;2012;http://link.springer.com/chapter/10.1007/978-3-642-34691-0_6;Chapter;"CaPTIF: Comprehensive Performance TestIng Framework,""Testing Software and Systems"","""","""","""",""10.1007/978-3-642-34691-0_6"",""Daniel A. MayerOrie SteeleSusanne WetzelUlrike Meyer"",""2012"",""http://link.springer.com/chapter/10.1007/978-3-642-34691-0_6"",""Chapter"""
Distributed Analysis in CMS;Journal of Grid Computing;;8;2;10.1007/s10723-010-9152-1;Alessandra FanfaniAnzar AfaqJose Afonso SanchesJulia AndreevaGiusepppe BagliesiLothar BauerdickStefano BelfortePatricia Bittencourt SampaioKen BloomBarry BlumenfeldDaniele BonacorsiChris BrewMarco CalloniDaniele CesiniMattia CinquilliGiuseppe Codispoti;2010;http://link.springer.com/article/10.1007/s10723-010-9152-1;Article;"Distributed Analysis in CMS,""Journal of Grid Computing"","""",""8"",""2"",""10.1007/s10723-010-9152-1"",""Alessandra FanfaniAnzar AfaqJose Afonso SanchesJulia AndreevaGiusepppe BagliesiLothar BauerdickStefano BelfortePatricia Bittencourt SampaioKen BloomBarry BlumenfeldDaniele BonacorsiChris BrewMarco CalloniDaniele CesiniMattia CinquilliGiuseppe Codispoti"",""2010"",""http://link.springer.com/article/10.1007/s10723-010-9152-1"",""Article"""
Solving Performance Problems;Maximizing .NET Performance;;;;10.1007/978-1-4302-0784-9_15;Nick Wienholt;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0784-9_15;Chapter;"Solving Performance Problems,""Maximizing .NET Performance"","""","""","""",""10.1007/978-1-4302-0784-9_15"",""Nick Wienholt"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0784-9_15"",""Chapter"""
Generation of Sierpinski Triangles: A Case Study for Graph Transformation Tools;Applications of Graph Transformations with Industrial Relevance;;;;10.1007/978-3-540-89020-1_35;Gabriele TaentzerEnrico BiermannDénes BisztrayBernd BohnetIovka BonevaArtur BoronatLeif GeigerRubino GeißÁkos HorvathOle KniemeyerTom MensBenjamin NessDetlef PlumpTamás Vajk;2008;http://link.springer.com/chapter/10.1007/978-3-540-89020-1_35;Chapter;"Generation of Sierpinski Triangles: A Case Study for Graph Transformation Tools,""Applications of Graph Transformations with Industrial Relevance"","""","""","""",""10.1007/978-3-540-89020-1_35"",""Gabriele TaentzerEnrico BiermannDénes BisztrayBernd BohnetIovka BonevaArtur BoronatLeif GeigerRubino GeißÁkos HorvathOle KniemeyerTom MensBenjamin NessDetlef PlumpTamás Vajk"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-89020-1_35"",""Chapter"""
Design and implementation of a DBMS performance assessment tool;Database and Expert Systems Applications;;;;10.1007/3-540-57234-1_24;M. L. KerstenF. Kwakkel;1993;http://link.springer.com/chapter/10.1007/3-540-57234-1_24;Chapter;"Design and implementation of a DBMS performance assessment tool,""Database and Expert Systems Applications"","""","""","""",""10.1007/3-540-57234-1_24"",""M. L. KerstenF. Kwakkel"",""1993"",""http://link.springer.com/chapter/10.1007/3-540-57234-1_24"",""Chapter"""
MobileTrust: a trust enhanced security architecture for mobile agent systems;International Journal of Information Security;;9;3;10.1007/s10207-009-0098-x;Ching LinVijay Varadharajan;2010;http://link.springer.com/article/10.1007/s10207-009-0098-x;Article;"MobileTrust: a trust enhanced security architecture for mobile agent systems,""International Journal of Information Security"","""",""9"",""3"",""10.1007/s10207-009-0098-x"",""Ching LinVijay Varadharajan"",""2010"",""http://link.springer.com/article/10.1007/s10207-009-0098-x"",""Article"""
Monitoring;Energy Efficient Servers;;;;10.1007/978-1-4302-6638-9_7;Corey GoughIan SteinerWinston Saunders;2015;http://link.springer.com/chapter/10.1007/978-1-4302-6638-9_7;Chapter;"Monitoring,""Energy Efficient Servers"","""","""","""",""10.1007/978-1-4302-6638-9_7"",""Corey GoughIan SteinerWinston Saunders"",""2015"",""http://link.springer.com/chapter/10.1007/978-1-4302-6638-9_7"",""Chapter"""
Software Architecture for Processing Clusters Based on I2O;Cluster Computing;;5;1;10.1023/A:1012744721976;J. GutleberL. Orsini;2002;http://link.springer.com/article/10.1023/A%3A1012744721976;Article;"Software Architecture for Processing Clusters Based on I2O,""Cluster Computing"","""",""5"",""1"",""10.1023/A:1012744721976"",""J. GutleberL. Orsini"",""2002"",""http://link.springer.com/article/10.1023/A%3A1012744721976"",""Article"""
A survey on virtual reality;Science in China Series F: Information Sciences;;52;3;10.1007/s11432-009-0066-0;QinPing Zhao;2009;http://link.springer.com/article/10.1007/s11432-009-0066-0;Article;"A survey on virtual reality,""Science in China Series F: Information Sciences"","""",""52"",""3"",""10.1007/s11432-009-0066-0"",""QinPing Zhao"",""2009"",""http://link.springer.com/article/10.1007/s11432-009-0066-0"",""Article"""
The Search for Genericity in Graphics Recognition Applications: Design Issues of the Qgar Software System;Document Analysis Systems VI;;;;10.1007/978-3-540-28640-0_35;Jan RendekGérald MasiniPhilippe DoschKarl Tombre;2004;http://link.springer.com/chapter/10.1007/978-3-540-28640-0_35;Chapter;"The Search for Genericity in Graphics Recognition Applications: Design Issues of the Qgar Software System,""Document Analysis Systems VI"","""","""","""",""10.1007/978-3-540-28640-0_35"",""Jan RendekGérald MasiniPhilippe DoschKarl Tombre"",""2004"",""http://link.springer.com/chapter/10.1007/978-3-540-28640-0_35"",""Chapter"""
PyACTS: A Python Based Interface to ACTS Tools and Parallel Scientific Applications;International Journal of Parallel Programming;;37;1;10.1007/s10766-008-0083-4;L. Anthony DrummondVicente GalianoVioleta MigallónJose Penadés;2009;http://link.springer.com/article/10.1007/s10766-008-0083-4;Article;"PyACTS: A Python Based Interface to ACTS Tools and Parallel Scientific Applications,""International Journal of Parallel Programming"","""",""37"",""1"",""10.1007/s10766-008-0083-4"",""L. Anthony DrummondVicente GalianoVioleta MigallónJose Penadés"",""2009"",""http://link.springer.com/article/10.1007/s10766-008-0083-4"",""Article"""
Installing OneNote;Complete Guide to OneNote;;;;10.1007/978-1-4302-0823-5_2;W. Frederick Zimmerman;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0823-5_2;Chapter;"Installing OneNote,""Complete Guide to OneNote"","""","""","""",""10.1007/978-1-4302-0823-5_2"",""W. Frederick Zimmerman"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0823-5_2"",""Chapter"""
Cloud cover: monitoring large-scale clouds with Varanus;Journal of Cloud Computing;;4;1;10.1186/s13677-015-0041-9;Jonathan Stuart WardAdam Barker;2015;http://link.springer.com/article/10.1186/s13677-015-0041-9;Article;"Cloud cover: monitoring large-scale clouds with Varanus,""Journal of Cloud Computing"","""",""4"",""1"",""10.1186/s13677-015-0041-9"",""Jonathan Stuart WardAdam Barker"",""2015"",""http://link.springer.com/article/10.1186/s13677-015-0041-9"",""Article"""
A UML-based quantitative framework for early prediction of resource usage and load in distributed real-time systems;Software & Systems Modeling;;8;2;10.1007/s10270-008-0099-7;Vahid GarousiLionel C. BriandYvan Labiche;2009;http://link.springer.com/article/10.1007/s10270-008-0099-7;Article;"A UML-based quantitative framework for early prediction of resource usage and load in distributed real-time systems,""Software & Systems Modeling"","""",""8"",""2"",""10.1007/s10270-008-0099-7"",""Vahid GarousiLionel C. BriandYvan Labiche"",""2009"",""http://link.springer.com/article/10.1007/s10270-008-0099-7"",""Article"""
Preventative Medicine;Software Exorcism: A Handbook for Debugging and Optimizing Legacy Code;;;;10.1007/978-1-4302-0788-7_1;Bill Blunden;2003;http://link.springer.com/chapter/10.1007/978-1-4302-0788-7_1;Chapter;"Preventative Medicine,""Software Exorcism: A Handbook for Debugging and Optimizing Legacy Code"","""","""","""",""10.1007/978-1-4302-0788-7_1"",""Bill Blunden"",""2003"",""http://link.springer.com/chapter/10.1007/978-1-4302-0788-7_1"",""Chapter"""
Observing the clouds: a survey and taxonomy of cloud monitoring;Journal of Cloud Computing;;3;1;10.1186/s13677-014-0024-2;Jonathan Stuart WardAdam Barker;2014;http://link.springer.com/article/10.1186/s13677-014-0024-2;Article;"Observing the clouds: a survey and taxonomy of cloud monitoring,""Journal of Cloud Computing"","""",""3"",""1"",""10.1186/s13677-014-0024-2"",""Jonathan Stuart WardAdam Barker"",""2014"",""http://link.springer.com/article/10.1186/s13677-014-0024-2"",""Article"""
StoryToCode: a new model for specification of convergent interactive digital TV applications;Journal of the Brazilian Computer Society;;16;4;10.1007/s13173-010-0021-3;Manoel C. Marques NetoCelso A. S. Santos;2010;http://link.springer.com/article/10.1007/s13173-010-0021-3;Article;"StoryToCode: a new model for specification of convergent interactive digital TV applications,""Journal of the Brazilian Computer Society"","""",""16"",""4"",""10.1007/s13173-010-0021-3"",""Manoel C. Marques NetoCelso A. S. Santos"",""2010"",""http://link.springer.com/article/10.1007/s13173-010-0021-3"",""Article"""
Introduction to Software Quality;A Practical Approach to Software Quality;;;;10.1007/978-0-387-22454-1_1;Gerard O’Regan;2002;http://link.springer.com/chapter/10.1007/978-0-387-22454-1_1;Chapter;"Introduction to Software Quality,""A Practical Approach to Software Quality"","""","""","""",""10.1007/978-0-387-22454-1_1"",""Gerard O’Regan"",""2002"",""http://link.springer.com/chapter/10.1007/978-0-387-22454-1_1"",""Chapter"""
The Common Language Runtime;Maximizing .NET Performance;;;;10.1007/978-1-4302-0784-9_14;Nick Wienholt;2004;http://link.springer.com/chapter/10.1007/978-1-4302-0784-9_14;Chapter;"The Common Language Runtime,""Maximizing .NET Performance"","""","""","""",""10.1007/978-1-4302-0784-9_14"",""Nick Wienholt"",""2004"",""http://link.springer.com/chapter/10.1007/978-1-4302-0784-9_14"",""Chapter"""
Conformance Testing of a Multimedia System Using PHACT;Testing of Communicating Systems;;;;10.1007/978-0-387-35381-4_12;L. M. G. FeijsF. A. C. MeijsJ. R. MoonenJ. J. van Wamel;1998;http://link.springer.com/chapter/10.1007/978-0-387-35381-4_12;Chapter;"Conformance Testing of a Multimedia System Using PHACT,""Testing of Communicating Systems"","""","""","""",""10.1007/978-0-387-35381-4_12"",""L. M. G. FeijsF. A. C. MeijsJ. R. MoonenJ. J. van Wamel"",""1998"",""http://link.springer.com/chapter/10.1007/978-0-387-35381-4_12"",""Chapter"""
Constraint-based test generation for automotive operating systems;Software & Systems Modeling;;16;1;10.1007/s10270-014-0449-6;Yunja ChoiTaejoon Byun;2017;http://link.springer.com/article/10.1007/s10270-014-0449-6;Article;"Constraint-based test generation for automotive operating systems,""Software & Systems Modeling"","""",""16"",""1"",""10.1007/s10270-014-0449-6"",""Yunja ChoiTaejoon Byun"",""2017"",""http://link.springer.com/article/10.1007/s10270-014-0449-6"",""Article"""
Practical quality assurance for standards-based, high-availability middleware;International Journal on Software Tools for Technology Transfer;;7;4;10.1007/s10009-004-0162-9;Bartholomäus KellererManfred Reitenspiess;2005;http://link.springer.com/article/10.1007/s10009-004-0162-9;Article;"Practical quality assurance for standards-based, high-availability middleware,""International Journal on Software Tools for Technology Transfer"","""",""7"",""4"",""10.1007/s10009-004-0162-9"",""Bartholomäus KellererManfred Reitenspiess"",""2005"",""http://link.springer.com/article/10.1007/s10009-004-0162-9"",""Article"""
Analyzing Conflicts in Hardware-Supported Memory Transactions;International Journal of Parallel Programming;;39;1;10.1007/s10766-010-0146-1;Arrvindh ShriramanSandhya Dwarkadas;2011;http://link.springer.com/article/10.1007/s10766-010-0146-1;Article;"Analyzing Conflicts in Hardware-Supported Memory Transactions,""International Journal of Parallel Programming"","""",""39"",""1"",""10.1007/s10766-010-0146-1"",""Arrvindh ShriramanSandhya Dwarkadas"",""2011"",""http://link.springer.com/article/10.1007/s10766-010-0146-1"",""Article"""
Chip-To-Substrate (First Level) Connection Technology Options;Multichip Module Technologies and Alternatives: The Basics;;;;10.1007/978-1-4615-3100-5_9;Robert E. RackerbyErik N. LarsonDean R. HaagensonSteve J. BezukRajendra D. PendseChee C. WongKarl J. Puttlitz Sr.;1993;http://link.springer.com/chapter/10.1007/978-1-4615-3100-5_9;Chapter;"Chip-To-Substrate (First Level) Connection Technology Options,""Multichip Module Technologies and Alternatives: The Basics"","""","""","""",""10.1007/978-1-4615-3100-5_9"",""Robert E. RackerbyErik N. LarsonDean R. HaagensonSteve J. BezukRajendra D. PendseChee C. WongKarl J. Puttlitz Sr."",""1993"",""http://link.springer.com/chapter/10.1007/978-1-4615-3100-5_9"",""Chapter"""
Implementation of MAC-based RTL module for Inverse DCT in H.264/AVC;Multimedia Tools and Applications;;61;1;10.1007/s11042-011-0747-8;Ki-Hong ParkWon-Ki JuYoon-Ho Kim;2012;http://link.springer.com/article/10.1007/s11042-011-0747-8;Article;"Implementation of MAC-based RTL module for Inverse DCT in H.264/AVC,""Multimedia Tools and Applications"","""",""61"",""1"",""10.1007/s11042-011-0747-8"",""Ki-Hong ParkWon-Ki JuYoon-Ho Kim"",""2012"",""http://link.springer.com/article/10.1007/s11042-011-0747-8"",""Article"""
XP with Acceptance-Test Driven Development: A Rewrite Project for a Resource Optimization System;Extreme Programming and Agile Processes in Software Engineering;;;;10.1007/3-540-44870-5_23;Johan AnderssonGeoff BachePeter Sutton;2003;http://link.springer.com/chapter/10.1007/3-540-44870-5_23;Chapter;"XP with Acceptance-Test Driven Development: A Rewrite Project for a Resource Optimization System,""Extreme Programming and Agile Processes in Software Engineering"","""","""","""",""10.1007/3-540-44870-5_23"",""Johan AnderssonGeoff BachePeter Sutton"",""2003"",""http://link.springer.com/chapter/10.1007/3-540-44870-5_23"",""Chapter"""
Towards Fully Automatic Execution Monitoring;Radical Innovations of Software and Systems Engineering in the Future;;;;10.1007/978-3-540-24626-8_14;Clinton JefferyMikhail AugustonScott Underwood;2004;http://link.springer.com/chapter/10.1007/978-3-540-24626-8_14;Chapter;"Towards Fully Automatic Execution Monitoring,""Radical Innovations of Software and Systems Engineering in the Future"","""","""","""",""10.1007/978-3-540-24626-8_14"",""Clinton JefferyMikhail AugustonScott Underwood"",""2004"",""http://link.springer.com/chapter/10.1007/978-3-540-24626-8_14"",""Chapter"""
Windows Forms, Web Forms, and No Forms;COBOL and Visual Basic on .NET;;;;10.1007/978-1-4302-0772-6_13;Chris Richardson;2003;http://link.springer.com/chapter/10.1007/978-1-4302-0772-6_13;Chapter;"Windows Forms, Web Forms, and No Forms,""COBOL and Visual Basic on .NET"","""","""","""",""10.1007/978-1-4302-0772-6_13"",""Chris Richardson"",""2003"",""http://link.springer.com/chapter/10.1007/978-1-4302-0772-6_13"",""Chapter"""
Infrastructure Federation Through Virtualized Delegation of Resources and Services;Journal of Grid Computing;;9;3;10.1007/s10723-011-9192-1;Georg BirkenheuerAndré BrinkmannMikael HögqvistAlexander PapaspyrouBernhard SchottDietmar SommerfeldWolfgang Ziegler;2011;http://link.springer.com/article/10.1007/s10723-011-9192-1;Article;"Infrastructure Federation Through Virtualized Delegation of Resources and Services,""Journal of Grid Computing"","""",""9"",""3"",""10.1007/s10723-011-9192-1"",""Georg BirkenheuerAndré BrinkmannMikael HögqvistAlexander PapaspyrouBernhard SchottDietmar SommerfeldWolfgang Ziegler"",""2011"",""http://link.springer.com/article/10.1007/s10723-011-9192-1"",""Article"""
A Case for Test-Code Generation in Model-Driven Systems;Generative Programming and Component Engineering;;;;10.1007/978-3-540-39815-8_23;Matthew J. RutherfordAlexander L. Wolf;2003;http://link.springer.com/chapter/10.1007/978-3-540-39815-8_23;Chapter;"A Case for Test-Code Generation in Model-Driven Systems,""Generative Programming and Component Engineering"","""","""","""",""10.1007/978-3-540-39815-8_23"",""Matthew J. RutherfordAlexander L. Wolf"",""2003"",""http://link.springer.com/chapter/10.1007/978-3-540-39815-8_23"",""Chapter"""
Model-Driven Platform-Specific Testing through Configurable Simulations;Model Driven Architecture – Foundations and Applications;;;;10.1007/978-3-540-69100-6_19;Thomas KuhnReinhard Gotzhein;2008;http://link.springer.com/chapter/10.1007/978-3-540-69100-6_19;Chapter;"Model-Driven Platform-Specific Testing through Configurable Simulations,""Model Driven Architecture – Foundations and Applications"","""","""","""",""10.1007/978-3-540-69100-6_19"",""Thomas KuhnReinhard Gotzhein"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-69100-6_19"",""Chapter"""
MIMO — An Infrastructure for Monitoring and Managing Distributed Middleware Environments;Middleware 2000;;;;10.1007/3-540-45559-0_4;Günther RacklMarkus LindermeierMichael RudorferBernd Süss;2000;http://link.springer.com/chapter/10.1007/3-540-45559-0_4;Chapter;"MIMO — An Infrastructure for Monitoring and Managing Distributed Middleware Environments,""Middleware 2000"","""","""","""",""10.1007/3-540-45559-0_4"",""Günther RacklMarkus LindermeierMichael RudorferBernd Süss"",""2000"",""http://link.springer.com/chapter/10.1007/3-540-45559-0_4"",""Chapter"""
Validation Algorithms for a Secure Internet Routing PKI;Public Key Infrastructure;;;;10.1007/978-3-540-69485-4_2;David MontanaMark Reynolds;2008;http://link.springer.com/chapter/10.1007/978-3-540-69485-4_2;Chapter;"Validation Algorithms for a Secure Internet Routing PKI,""Public Key Infrastructure"","""","""","""",""10.1007/978-3-540-69485-4_2"",""David MontanaMark Reynolds"",""2008"",""http://link.springer.com/chapter/10.1007/978-3-540-69485-4_2"",""Chapter"""
Educational knowledge based system design using a diagnostic approach;Computer Assisted Learning;;;;10.1007/3-540-51142-3_47;Marie-Michèle Boulet Ph.D.L. LavoieP. LabbéS. SlobodrianL. Barbeau;1989;http://link.springer.com/chapter/10.1007/3-540-51142-3_47;Chapter;"Educational knowledge based system design using a diagnostic approach,""Computer Assisted Learning"","""","""","""",""10.1007/3-540-51142-3_47"",""Marie-Michèle Boulet Ph.D.L. LavoieP. LabbéS. SlobodrianL. Barbeau"",""1989"",""http://link.springer.com/chapter/10.1007/3-540-51142-3_47"",""Chapter"""
